Domain,Field,Group,numpub
Health Sciences,General Dentistry,Dentistry,11
Health Sciences,Oral Surgery,Dentistry,57
Health Sciences,Orthodontics,Dentistry,30
Health Sciences,Periodontics,Dentistry,58
Health Sciences,Complementary and Manual Therapy,Health Professions,12
Health Sciences,Emergency Medical Services,Health Professions,235
Health Sciences,General Health Professions,Health Professions,1729
Health Sciences,Health Information Management,Health Professions,135
Health Sciences,Medical Laboratory Technology,Health Professions,130
Health Sciences,Medical Terminology,Health Professions,2
Health Sciences,Occupational Therapy,Health Professions,143
Health Sciences,Pharmacy,Health Professions,177
Health Sciences,"Physical Therapy, Sports Therapy and Rehabilitation",Health Professions,375
Health Sciences,Radiological and Ultrasound Technology,Health Professions,443
Health Sciences,Speech and Hearing,Health Professions,470
Health Sciences,Anatomy,Medicine,5
Health Sciences,Anesthesiology and Pain Medicine,Medicine,72
Health Sciences,Biochemistry (medicine),Medicine,201
Health Sciences,Cardiology and Cardiovascular Medicine,Medicine,797
Health Sciences,Complementary and alternative medicine,Medicine,214
Health Sciences,Critical Care and Intensive Care Medicine,Medicine,108
Health Sciences,Dermatology,Medicine,119
Health Sciences,Emergency Medicine,Medicine,260
Health Sciences,"Endocrinology, Diabetes and Metabolism",Medicine,474
Health Sciences,Epidemiology,Medicine,1948
Health Sciences,Family Practice,Medicine,54
Health Sciences,Gastroenterology,Medicine,81
Health Sciences,Genetics (medicine),Medicine,225
Health Sciences,Geriatrics and Gerontology,Medicine,70
Health Sciences,Health Informatics,Medicine,42
Health Sciences,Hematology,Medicine,170
Health Sciences,Hepatology,Medicine,213
Health Sciences,Immunology and Allergy,Medicine,134
Health Sciences,Infectious Diseases,Medicine,1328
Health Sciences,Internal Medicine,Medicine,31
Health Sciences,Microbiology (medicine),Medicine,14
Health Sciences,Nephrology,Medicine,82
Health Sciences,Neurology (medicine),Medicine,427
Health Sciences,Obstetrics and Gynecology,Medicine,129
Health Sciences,Oncology,Medicine,1008
Health Sciences,Ophthalmology,Medicine,151
Health Sciences,Orthopedics and Sports Medicine,Medicine,647
Health Sciences,Otorhinolaryngology,Medicine,24
Health Sciences,Pathology and Forensic Medicine,Medicine,470
Health Sciences,"Pediatrics, Perinatology and Child Health",Medicine,506
Health Sciences,Pharmacology (medicine),Medicine,930
Health Sciences,Physiology,Medicine,1520
Health Sciences,Psychiatry and Mental health,Medicine,699
Health Sciences,"Public Health, Environmental and Occupational Health",Medicine,2543
Health Sciences,Pulmonary and Respiratory Medicine,Medicine,1157
Health Sciences,"Radiology, Nuclear Medicine and Imaging",Medicine,910
Health Sciences,Rehabilitation,Medicine,336
Health Sciences,Reproductive Medicine,Medicine,310
Health Sciences,Rheumatology,Medicine,348
Health Sciences,Surgery,Medicine,1623
Health Sciences,Transplantation,Medicine,17
Health Sciences,Urology,Medicine,81
Health Sciences,"Issues, ethics and legal aspects",Nursing,18
Health Sciences,Leadership and Management,Nursing,12
Health Sciences,Nutrition and Dietetics,Nursing,1216
Health Sciences,Research and Theory,Nursing,3
Health Sciences,Equine,Veterinary,332
Health Sciences,Small Animals,Veterinary,1325
Life Sciences,Agronomy and Crop Science,Agricultural and Biological Sciences,2226
Life Sciences,Animal Science and Zoology,Agricultural and Biological Sciences,2480
Life Sciences,Aquatic Science,Agricultural and Biological Sciences,535
Life Sciences,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,2912
Life Sciences,Food Science,Agricultural and Biological Sciences,1361
Life Sciences,Forestry,Agricultural and Biological Sciences,147
Life Sciences,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,891
Life Sciences,Horticulture,Agricultural and Biological Sciences,30
Life Sciences,Insect Science,Agricultural and Biological Sciences,2517
Life Sciences,Plant Science,Agricultural and Biological Sciences,6508
Life Sciences,Soil Science,Agricultural and Biological Sciences,1239
Life Sciences,Aging,"Biochemistry, Genetics and Molecular Biology",38
Life Sciences,Biochemistry,"Biochemistry, Genetics and Molecular Biology",488
Life Sciences,Biophysics,"Biochemistry, Genetics and Molecular Biology",371
Life Sciences,Biotechnology,"Biochemistry, Genetics and Molecular Biology",817
Life Sciences,Cancer Research,"Biochemistry, Genetics and Molecular Biology",531
Life Sciences,Cell Biology,"Biochemistry, Genetics and Molecular Biology",1740
Life Sciences,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",330
Life Sciences,Developmental Biology,"Biochemistry, Genetics and Molecular Biology",304
Life Sciences,Endocrinology,"Biochemistry, Genetics and Molecular Biology",422
Life Sciences,Genetics,"Biochemistry, Genetics and Molecular Biology",3778
Life Sciences,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",8326
Life Sciences,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology",231
Life Sciences,Physiology,"Biochemistry, Genetics and Molecular Biology",257
Life Sciences,Structural Biology,"Biochemistry, Genetics and Molecular Biology",76
Life Sciences,Applied Microbiology and Biotechnology,Immunology and Microbiology,37
Life Sciences,Immunology,Immunology and Microbiology,1265
Life Sciences,Microbiology,Immunology and Microbiology,400
Life Sciences,Parasitology,Immunology and Microbiology,570
Life Sciences,Virology,Immunology and Microbiology,136
Life Sciences,Behavioral Neuroscience,Neuroscience,182
Life Sciences,Biological Psychiatry,Neuroscience,79
